"Gewässer","","'=","Donau 8427",""
"Messstelle","","'=","Immendingen CQQ105 2187",""
"","","'=","Ulm-Wiblingen CQQ803 2198",""
"Parameter","","'=","4 T Temperatur Grad Celsius",""
"Zeitraum","","'=","Tue Dec 01 00:00:00 CET 2015 Sat Aug 31 23:59:59 CEST 2024",""


"Gewässer","GCODE","Messstelle","Ost","Nord","Parameter","Datum","Tagesmittelwert","Dimension"
"Donau","CQQ105","Immendingen","480989","5309454","Temperatur","27.08.2016","23,4","°C"
"Donau","CQQ105","Immendingen","480989","5309454","Temperatur","28.08.2016","24,3","°C"
"Donau","CQQ105","Immendingen","480989","5309454","Temperatur","29.08.2016","22,9","°C"
"Donau","CQQ105","Immendingen","480989","5309454","Temperatur","30.08.2016","22,1","°C"
"Donau","CQQ105","Immendingen","480989","5309454","Temperatur","31.08.2016","22,1","°C"
"Donau","CQQ105","Immendingen","480989","5309454","Temperatur","01.09.2016","21,3","°C"
"Donau","CQQ105","Immendingen","480989","5309454","Temperatur","02.09.2016","20,6","°C"
"Donau","CQQ105","Immendingen","480989","5309454","Temperatur","03.09.2016","19,6","°C"
"Donau","CQQ105","Immendingen","480989","5309454","Temperatur","04.09.2016","18","°C"
"Donau","CQQ105","Immendingen","480989","5309454","Temperatur","05.09.2016","17,3","°C"
"Donau","CQQ105","Immendingen","480989","5309454","Temperatur","06.09.2016","17,1","°C"
"Donau","CQQ105","Immendingen","480989","5309454","Temperatur","07.09.2016","17,8","°C"
"Donau","CQQ105","Immendingen","480989","5309454","Temperatur","08.09.2016","18,9","°C"
