station_no;time;max(cm)
4284170000100;2023-05-17T00:00:00.000+01:00;10.80
4284170000100;2023-05-18T00:00:00.000+01:00;11.10
4284170000100;2023-05-19T00:00:00.000+01:00;11.70
4284170000100;2023-05-20T00:00:00.000+01:00;10.90
4284170000100;2023-05-21T00:00:00.000+01:00;13.90
4284170000100;2023-05-22T00:00:00.000+01:00;13.90
4284170000100;2023-05-23T00:00:00.000+01:00;13.10
4284170000100;2023-05-24T00:00:00.000+01:00;10.70
4284170000100;2023-05-25T00:00:00.000+01:00;11.90
4284170000100;2023-05-26T00:00:00.000+01:00;12.00
4284170000100;2023-05-27T00:00:00.000+01:00;12.50
4284170000100;2023-05-28T00:00:00.000+01:00;13.30
4284170000100;2023-05-29T00:00:00.000+01:00;13.60
4284170000100;2023-05-30T00:00:00.000+01:00;13.10
4284170000100;2023-05-31T00:00:00.000+01:00;14.00
4284170000100;2023-06-01T00:00:00.000+01:00;14.00
4284170000100;2023-06-02T00:00:00.000+01:00;13.10
4284170000100;2023-06-03T00:00:00.000+01:00;12.80
4284170000100;2023-06-04T00:00:00.000+01:00;13.10
4284170000100;2023-06-05T00:00:00.000+01:00;13.50
4284170000100;2023-06-06T00:00:00.000+01:00;13.50
4284170000100;2023-06-07T00:00:00.000+01:00;14.20
4284170000100;2023-06-08T00:00:00.000+01:00;15.60
4284170000100;2023-06-09T00:00:00.000+01:00;15.60
4284170000100;2023-06-10T00:00:00.000+01:00;16.00
4284170000100;2023-06-11T00:00:00.000+01:00;16.10
4284170000100;2023-06-12T00:00:00.000+01:00;15.50
4284170000100;2023-06-13T00:00:00.000+01:00;15.20
4284170000100;2023-06-14T00:00:00.000+01:00;14.70
4284170000100;2023-06-15T00:00:00.000+01:00;14.50
4284170000100;2023-06-16T00:00:00.000+01:00;14.70
4284170000100;2023-06-17T00:00:00.000+01:00;14.90
4284170000100;2023-06-18T00:00:00.000+01:00;15.80
4284170000100;2023-06-19T00:00:00.000+01:00;16.70
4284170000100;2023-06-20T00:00:00.000+01:00;17.70
4284170000100;2023-06-21T00:00:00.000+01:00;17.40
4284170000100;2023-06-22T00:00:00.000+01:00;17.50
4284170000100;2023-06-23T00:00:00.000+01:00;16.40
4284170000100;2023-06-24T00:00:00.000+01:00;16.00
4284170000100;2023-06-25T00:00:00.000+01:00;17.00
4284170000100;2023-06-26T00:00:00.000+01:00;16.40
4284170000100;2023-06-27T00:00:00.000+01:00;15.20
4284170000100;2023-06-28T00:00:00.000+01:00;14.80
4284170000100;2023-06-29T00:00:00.000+01:00;15.40
4284170000100;2023-06-30T00:00:00.000+01:00;15.00
